"날짜","종가","오픈","고가","저가","변동 %"
"2022년 02월 28일","1,207.40","1,197.83","1,207.57","1,197.83","0.80%"
"2022년 02월 27일","1,197.83","1,197.83","1,197.83","1,197.83","0.02%"
"2022년 02월 25일","1,197.57","1,206.11","1,206.90","1,197.73","-0.70%"
"2022년 02월 24일","1,206.05","1,192.60","1,211.47","1,191.93","1.14%"
"2022년 02월 23일","1,192.44","1,193.03","1,194.34","1,189.64","0.05%"
"2022년 02월 22일","1,191.90","1,194.60","1,196.60","1,190.74","-0.15%"
"2022년 02월 21일","1,193.68","1,198.30","1,199.72","1,189.73","-0.16%"
"2022년 02월 18일","1,195.59","1,198.76","1,199.55","1,192.95","-0.25%"
"2022년 02월 17일","1,198.63","1,196.69","1,200.06","1,194.44","0.18%"
"2022년 02월 16일","1,196.53","1,196.86","1,199.57","1,195.22","-0.02%"
"2022년 02월 15일","1,196.76","1,197.44","1,200.59","1,195.29","-0.05%"
"2022년 02월 14일","1,197.32","1,200.10","1,200.17","1,193.93","-0.18%"
"2022년 02월 11일","1,199.48","1,200.10","1,201.87","1,193.23","-0.03%"
"2022년 02월 10일","1,199.83","1,194.17","1,200.65","1,193.42","0.48%"
"2022년 02월 09일","1,194.05","1,196.40","1,197.47","1,193.02","-0.19%"
"2022년 02월 08일","1,196.35","1,196.92","1,200.38","1,196.21","-0.04%"
"2022년 02월 07일","1,196.87","1,199.00","1,201.09","1,196.72","-0.12%"
"2022년 02월 04일","1,198.25","1,200.65","1,202.05","1,196.81","-0.10%"
"2022년 02월 03일","1,199.47","1,200.36","1,207.19","1,198.68","0.00%"
"2022년 02월 02일","1,199.46","1,202.47","1,204.41","1,198.82","-0.24%"
"2022년 02월 01일","1,202.31","1,204.75","1,208.01","1,201.61","-0.19%"
"2022년 01월 31일","1,204.63","1,209.71","1,212.92","1,204.20","-0.41%"
"2022년 01월 28일","1,209.56","1,203.82","1,213.86","1,203.65","0.48%"
"2022년 01월 27일","1,203.77","1,200.75","1,205.79","1,200.15","0.56%"
"2022년 01월 26일","1,197.03","1,196.35","1,198.51","1,194.29","0.06%"
"2022년 01월 25일","1,196.35","1,195.69","1,199.93","1,195.17","0.06%"
"2022년 01월 24일","1,195.59","1,193.30","1,197.90","1,192.49","0.26%"
"2022년 01월 21일","1,192.51","1,192.49","1,195.05","1,190.14","0.01%"
"2022년 01월 20일","1,192.42","1,188.21","1,193.88","1,187.19","0.36%"
"2022년 01월 19일","1,188.13","1,193.03","1,193.94","1,186.66","-0.38%"
"2022년 01월 18일","1,192.69","1,190.98","1,194.33","1,185.93","0.23%"
"2022년 01월 17일","1,189.99","1,190.55","1,194.13","1,189.49","-0.01%"
"2022년 01월 14일","1,190.07","1,186.77","1,192.42","1,185.67","0.33%"
"2022년 01월 13일","1,186.11","1,185.96","1,189.94","1,184.04","0.02%"
"2022년 01월 12일","1,185.87","1,190.55","1,193.20","1,185.11","-0.54%"
"2022년 01월 11일","1,192.31","1,198.14","1,198.60","1,192.30","-0.48%"
"2022년 01월 10일","1,198.04","1,198.20","1,201.81","1,195.95","0.03%"
"2022년 01월 07일","1,197.63","1,205.03","1,205.78","1,197.32","-0.61%"
"2022년 01월 06일","1,204.95","1,200.65","1,207.11","1,197.20","0.56%"
"2022년 01월 05일","1,198.20","1,197.54","1,200.18","1,195.91","0.06%"
"2022년 01월 04일","1,197.49","1,194.77","1,199.49","1,192.75","0.38%"
"2022년 01월 03일","1,193.00","1,189.80","1,193.86","1,187.55","0.42%"
"2021년 12월 31일","1,187.96","1,190.22","1,191.31","1,186.67","-0.12%"
"2021년 12월 30일","1,189.36","1,184.79","1,190.72","1,182.75","0.39%"
"2021년 12월 29일","1,184.70","1,188.14","1,188.59","1,184.06","-0.29%"
"2021년 12월 28일","1,188.09","1,186.59","1,189.39","1,185.31","0.21%"
"2021년 12월 27일","1,185.61","1,187.10","1,188.63","1,185.02","-0.03%"
"2021년 12월 24일","1,185.99","1,185.64","1,188.40","1,184.69","0.04%"
"2021년 12월 23일","1,185.55","1,187.94","1,190.76","1,184.89","-0.39%"
"2021년 12월 22일","1,190.21","1,190.43","1,192.98","1,189.50","-0.04%"
"2021년 12월 21일","1,190.67","1,189.95","1,193.81","1,189.00","0.10%"
"2021년 12월 20일","1,189.53","1,188.10","1,192.67","1,186.79","0.15%"
"2021년 12월 17일","1,187.70","1,186.39","1,188.63","1,180.03","0.12%"
"2021년 12월 16일","1,186.29","1,185.41","1,188.86","1,181.63","0.15%"
"2021년 12월 15일","1,184.57","1,185.24","1,190.22","1,183.93","-0.05%"
"2021년 12월 14일","1,185.19","1,185.10","1,186.38","1,180.97","0.02%"
"2021년 12월 13일","1,184.91","1,180.96","1,186.16","1,177.03","0.34%"
"2021년 12월 10일","1,180.86","1,178.27","1,182.82","1,176.40","0.23%"
"2021년 12월 09일","1,178.15","1,173.42","1,179.37","1,172.62","0.25%"
"2021년 12월 08일","1,175.19","1,176.85","1,179.31","1,175.12","-0.13%"
"2021년 12월 07일","1,176.73","1,180.66","1,184.03","1,176.56","-0.32%"
"2021년 12월 06일","1,180.54","1,184.85","1,186.49","1,179.70","-0.04%"
"2021년 12월 03일","1,181.00","1,176.85","1,183.63","1,175.83","0.36%"
"2021년 12월 02일","1,176.74","1,177.06","1,179.35","1,173.32","-0.02%"
"2021년 12월 01일","1,176.93","1,182.84","1,185.49","1,173.33","-0.49%"
"2021년 11월 30일","1,182.71","1,190.96","1,191.73","1,182.26","-0.67%"
"2021년 11월 29일","1,190.69","1,195.80","1,196.00","1,189.90","-0.31%"
"2021년 11월 26일","1,194.43","1,190.24","1,196.26","1,189.74","0.36%"
"2021년 11월 25일","1,190.16","1,188.81","1,192.28","1,187.82","0.12%"
"2021년 11월 24일","1,188.77","1,190.07","1,190.79","1,185.02","-0.03%"
"2021년 11월 23일","1,189.08","1,190.57","1,192.47","1,187.06","-0.08%"
"2021년 11월 22일","1,190.08","1,188.77","1,191.36","1,184.81","0.25%"
"2021년 11월 19일","1,187.10","1,182.99","1,187.67","1,181.16","0.40%"
"2021년 11월 18일","1,182.37","1,180.58","1,187.76","1,177.92","0.16%"
"2021년 11월 17일","1,180.46","1,183.99","1,186.96","1,179.58","-0.29%"
"2021년 11월 16일","1,183.85","1,183.56","1,185.80","1,175.30","0.04%"
"2021년 11월 15일","1,183.42","1,179.94","1,184.78","1,177.17","0.36%"
"2021년 11월 12일","1,179.20","1,182.45","1,184.10","1,176.31","-0.27%"
"2021년 11월 11일","1,182.39","1,185.15","1,187.30","1,178.17","-0.22%"
"2021년 11월 10일","1,185.04","1,178.51","1,186.15","1,176.82","0.56%"
"2021년 11월 09일","1,178.40","1,180.95","1,182.10","1,173.36","-0.21%"
"2021년 11월 08일","1,180.84","1,181.51","1,186.74","1,178.93","-0.02%"
"2021년 11월 05일","1,181.05","1,185.97","1,188.43","1,181.21","-0.40%"
"2021년 11월 04일","1,185.75","1,178.89","1,188.81","1,176.94","0.59%"
"2021년 11월 03일","1,178.78","1,178.59","1,185.94","1,177.99","0.03%"
"2021년 11월 02일","1,178.48","1,177.56","1,179.91","1,174.03","0.09%"
"2021년 11월 01일","1,177.45","1,174.61","1,179.89","1,173.28","0.25%"
"2021년 10월 29일","1,174.47","1,168.45","1,177.07","1,167.81","0.52%"
"2021년 10월 28일","1,168.44","1,172.17","1,174.70","1,166.06","-0.31%"
"2021년 10월 27일","1,172.05","1,168.06","1,174.09","1,165.45","0.35%"
"2021년 10월 26일","1,167.95","1,168.13","1,170.47","1,163.75","-0.01%"
"2021년 10월 25일","1,168.02","1,177.44","1,178.96","1,166.96","-0.80%"
"2021년 10월 22일","1,177.48","1,177.86","1,181.70","1,173.64","-0.03%"
"2021년 10월 21일","1,177.78","1,175.81","1,180.03","1,172.98","0.18%"
"2021년 10월 20일","1,175.63","1,175.61","1,179.26","1,172.01","0.04%"
"2021년 10월 19일","1,175.13","1,185.89","1,186.04","1,173.73","-0.87%"
"2021년 10월 18일","1,185.47","1,182.49","1,188.85","1,182.39","0.29%"
"2021년 10월 15일","1,182.07","1,182.23","1,185.31","1,180.87","0.03%"
"2021년 10월 14일","1,181.69","1,186.87","1,190.94","1,181.76","-0.38%"
"2021년 10월 13일","1,186.18","1,197.92","1,199.49","1,186.30","-0.93%"
"2021년 10월 12일","1,197.29","1,195.75","1,200.90","1,195.38","0.17%"
"2021년 10월 11일","1,195.30","1,196.54","1,196.99","1,191.89","-0.12%"
"2021년 10월 08일","1,196.79","1,191.33","1,197.61","1,190.35","0.50%"
"2021년 10월 07일","1,190.88","1,190.74","1,192.08","1,188.15","0.06%"
"2021년 10월 06일","1,190.21","1,186.69","1,197.94","1,185.90","0.31%"
"2021년 10월 05일","1,186.48","1,184.45","1,189.12","1,183.83","0.20%"
"2021년 10월 04일","1,184.12","1,179.90","1,185.97","1,178.41","0.32%"
"2021년 10월 01일","1,180.35","1,184.78","1,189.05","1,179.20","-0.33%"
"2021년 09월 30일","1,184.23","1,187.93","1,189.38","1,180.22","-0.24%"
"2021년 09월 29일","1,187.11","1,188.04","1,189.26","1,181.20","-0.00%"
"2021년 09월 28일","1,187.16","1,177.09","1,188.67","1,176.37","0.78%"
"2021년 09월 27일","1,177.94","1,179.95","1,182.46","1,173.98","-0.15%"
"2021년 09월 24일","1,179.68","1,174.83","1,182.05","1,171.81","0.43%"
"2021년 09월 23일","1,174.63","1,181.99","1,186.62","1,170.36","-0.60%"
"2021년 09월 22일","1,181.75","1,184.41","1,185.53","1,178.25","-0.19%"
"2021년 09월 21일","1,183.96","1,187.39","1,188.61","1,182.66","-0.14%"
"2021년 09월 20일","1,185.67","1,181.56","1,192.41","1,181.47","0.42%"
"2021년 09월 17일","1,180.69","1,175.36","1,182.81","1,174.23","0.47%"
"2021년 09월 16일","1,175.19","1,166.39","1,176.94","1,165.20","0.77%"
"2021년 09월 15일","1,166.23","1,172.41","1,174.70","1,164.77","-0.51%"
"2021년 09월 14일","1,172.23","1,173.44","1,175.20","1,166.38","-0.05%"
"2021년 09월 13일","1,172.83","1,170.38","1,177.53","1,170.02","0.22%"
"2021년 09월 10일","1,170.23","1,169.81","1,174.13","1,164.83","0.05%"
"2021년 09월 09일","1,169.64","1,167.14","1,172.21","1,166.05","0.27%"
"2021년 09월 08일","1,166.54","1,162.16","1,168.83","1,161.15","0.39%"
"2021년 09월 07일","1,161.98","1,157.33","1,166.02","1,155.00","0.43%"
"2021년 09월 06일","1,157.04","1,155.75","1,159.97","1,154.53","0.24%"
"2021년 09월 03일","1,154.28","1,158.23","1,159.71","1,152.54","-0.33%"
"2021년 09월 02일","1,158.05","1,156.08","1,162.44","1,155.05","0.22%"
"2021년 09월 01일","1,155.47","1,158.95","1,160.64","1,154.54","-0.28%"
"2021년 08월 31일","1,158.73","1,166.07","1,167.43","1,155.18","-0.48%"
"2021년 08월 30일","1,164.34","1,162.33","1,167.71","1,161.88","0.27%"
"2021년 08월 27일","1,161.23","1,170.71","1,174.77","1,160.89","-0.79%"
"2021년 08월 26일","1,170.53","1,164.05","1,172.01","1,162.97","0.57%"
"2021년 08월 25일","1,163.87","1,164.02","1,169.37","1,162.92","0.02%"
"2021년 08월 24일","1,163.65","1,169.06","1,171.57","1,163.10","-0.49%"
"2021년 08월 23일","1,169.36","1,175.24","1,177.56","1,167.43","-0.49%"
"2021년 08월 20일","1,175.15","1,176.46","1,184.85","1,171.21","-0.10%"
"2021년 08월 19일","1,176.28","1,170.28","1,178.40","1,169.66","0.53%"
"2021년 08월 18일","1,170.03","1,177.44","1,179.94","1,166.89","-0.62%"
"2021년 08월 17일","1,177.30","1,165.45","1,179.80","1,164.60","1.03%"
"2021년 08월 16일","1,165.28","1,162.37","1,168.81","1,161.46","0.34%"
"2021년 08월 13일","1,161.37","1,163.16","1,171.15","1,160.38","-0.14%"
"2021년 08월 12일","1,162.98","1,154.16","1,166.15","1,152.96","0.78%"
"2021년 08월 11일","1,153.98","1,152.90","1,159.69","1,151.89","0.11%"
"2021년 08월 10일","1,152.70","1,147.07","1,154.29","1,145.78","0.51%"
"2021년 08월 09일","1,146.89","1,145.93","1,148.86","1,142.35","0.17%"
"2021년 08월 06일","1,144.93","1,142.94","1,148.29","1,140.15","0.20%"
"2021년 08월 05일","1,142.59","1,144.94","1,146.84","1,140.62","-0.19%"
"2021년 08월 04일","1,144.76","1,148.63","1,149.72","1,140.02","-0.32%"
"2021년 08월 03일","1,148.44","1,150.35","1,153.91","1,146.59","-0.15%"
"2021년 08월 02일","1,150.18","1,151.90","1,154.60","1,148.52","-0.11%"
"2021년 07월 30일","1,151.41","1,143.30","1,154.78","1,142.04","0.73%"
"2021년 07월 29일","1,143.12","1,150.44","1,152.12","1,140.48","-0.62%"
"2021년 07월 28일","1,150.27","1,154.44","1,159.96","1,149.24","-0.34%"
"2021년 07월 27일","1,154.25","1,152.71","1,158.65","1,148.86","0.15%"
"2021년 07월 26일","1,152.54","1,152.12","1,157.24","1,151.26","0.09%"
"2021년 07월 23일","1,151.52","1,150.86","1,155.41","1,147.15","0.08%"
"2021년 07월 22일","1,150.55","1,149.48","1,153.12","1,146.85","0.11%"
"2021년 07월 21일","1,149.31","1,148.46","1,156.44","1,147.07","0.16%"
"2021년 07월 20일","1,147.47","1,151.92","1,153.07","1,146.55","-0.29%"
"2021년 07월 19일","1,150.83","1,142.50","1,155.59","1,141.85","0.82%"
"2021년 07월 16일","1,141.51","1,141.77","1,144.28","1,137.99","-0.01%"
"2021년 07월 15일","1,141.59","1,144.36","1,148.31","1,138.93","-0.23%"
"2021년 07월 14일","1,144.22","1,150.11","1,152.27","1,142.63","-0.50%"
"2021년 07월 13일","1,149.94","1,147.18","1,152.90","1,141.21","0.27%"
"2021년 07월 12일","1,146.85","1,145.31","1,150.06","1,144.18","0.27%"
"2021년 07월 09일","1,143.73","1,146.81","1,150.52","1,143.18","-0.25%"
"2021년 07월 08일","1,146.59","1,141.65","1,151.69","1,139.55","0.45%"
"2021년 07월 07일","1,141.50","1,136.93","1,144.27","1,135.03","0.42%"
"2021년 07월 06일","1,136.75","1,130.59","1,139.97","1,129.03","0.56%"
"2021년 07월 05일","1,130.42","1,130.77","1,132.72","1,128.13","-0.01%"
"2021년 07월 02일","1,130.53","1,134.51","1,138.60","1,129.60","-0.33%"
"2021년 07월 01일","1,134.33","1,130.63","1,135.98","1,128.28","0.34%"
"2021년 06월 30일","1,130.48","1,131.80","1,132.89","1,125.59","-0.10%"
"2021년 06월 29일","1,131.62","1,130.21","1,134.77","1,127.65","0.14%"
"2021년 06월 28일","1,130.04","1,127.34","1,132.68","1,126.58","0.26%"
"2021년 06월 25일","1,127.12","1,131.87","1,133.10","1,124.10","-0.32%"
"2021년 06월 24일","1,130.78","1,136.03","1,138.69","1,129.97","-0.45%"
"2021년 06월 23일","1,135.85","1,133.73","1,138.63","1,131.17","0.20%"
"2021년 06월 22일","1,133.57","1,131.57","1,138.81","1,130.35","0.19%"
"2021년 06월 21일","1,131.40","1,135.24","1,139.47","1,130.91","-0.31%"
"2021년 06월 18일","1,134.94","1,134.47","1,138.14","1,128.06","0.06%"
"2021년 06월 17일","1,134.30","1,132.84","1,137.00","1,127.35","0.14%"
"2021년 06월 16일","1,132.68","1,118.09","1,137.17","1,115.74","1.40%"
"2021년 06월 15일","1,117.09","1,117.33","1,119.39","1,116.14","0.07%"
"2021년 06월 14일","1,116.33","1,116.55","1,120.05","1,114.45","-0.01%"
"2021년 06월 11일","1,116.40","1,112.56","1,118.54","1,109.25","0.37%"
"2021년 06월 10일","1,112.32","1,117.03","1,119.26","1,111.93","-0.29%"
"2021년 06월 09일","1,115.61","1,117.72","1,119.02","1,112.30","-0.19%"
"2021년 06월 08일","1,117.72","1,110.80","1,118.81","1,108.99","0.64%"
"2021년 06월 07일","1,110.62","1,110.68","1,114.53","1,109.07","0.01%"
"2021년 06월 04일","1,110.52","1,116.64","1,119.51","1,108.77","-0.53%"
"2021년 06월 03일","1,116.46","1,111.10","1,118.82","1,108.86","0.50%"
"2021년 06월 02일","1,110.92","1,108.49","1,114.81","1,106.78","0.23%"
"2021년 06월 01일","1,108.38","1,108.08","1,110.59","1,104.69","0.16%"
"2021년 05월 31일","1,106.58","1,113.83","1,117.42","1,106.50","-0.58%"
"2021년 05월 28일","1,113.08","1,118.72","1,119.35","1,112.86","-0.49%"
"2021년 05월 27일","1,118.55","1,116.79","1,120.32","1,115.07","0.17%"
"2021년 05월 26일","1,116.61","1,122.54","1,123.49","1,114.67","-0.51%"
"2021년 05월 25일","1,122.36","1,123.60","1,126.55","1,120.35","-0.10%"
"2021년 05월 24일","1,123.48","1,127.86","1,129.60","1,122.80","-0.37%"
"2021년 05월 21일","1,127.63","1,127.99","1,129.36","1,122.24","-0.00%"
"2021년 05월 20일","1,127.66","1,131.35","1,134.41","1,127.17","-0.31%"
"2021년 05월 19일","1,131.18","1,127.07","1,133.31","1,124.60","0.38%"
"2021년 05월 18일","1,126.93","1,136.91","1,139.74","1,125.64","-0.86%"
"2021년 05월 17일","1,136.73","1,126.52","1,139.74","1,125.95","0.97%"
"2021년 05월 14일","1,125.79","1,126.89","1,131.31","1,125.23","-0.08%"
"2021년 05월 13일","1,126.73","1,132.92","1,136.13","1,126.17","-0.53%"
"2021년 05월 12일","1,132.73","1,119.67","1,133.94","1,118.74","1.17%"
"2021년 05월 11일","1,119.58","1,116.83","1,122.39","1,114.95","0.26%"
"2021년 05월 10일","1,116.68","1,112.97","1,118.10","1,110.49","0.49%"
"2021년 05월 07일","1,111.23","1,120.45","1,123.67","1,109.48","-0.81%"
"2021년 05월 06일","1,120.28","1,125.02","1,127.02","1,119.63","-0.39%"
"2021년 05월 05일","1,124.72","1,125.94","1,128.30","1,122.18","-0.09%"
"2021년 05월 04일","1,125.77","1,120.50","1,128.92","1,118.84","0.48%"
"2021년 05월 03일","1,120.34","1,117.76","1,124.94","1,115.51","0.28%"
"2021년 04월 30일","1,117.16","1,107.81","1,119.45","1,106.52","0.86%"
"2021년 04월 29일","1,107.63","1,110.06","1,111.17","1,105.30","-0.20%"
"2021년 04월 28일","1,109.88","1,113.43","1,115.52","1,108.31","-0.31%"
"2021년 04월 27일","1,113.33","1,110.44","1,114.55","1,108.27","0.28%"
"2021년 04월 26일","1,110.27","1,115.85","1,116.95","1,108.96","-0.40%"
"2021년 04월 23일","1,114.72","1,120.18","1,121.54","1,113.94","-0.36%"
"2021년 04월 22일","1,118.79","1,116.70","1,121.69","1,114.13","0.22%"
"2021년 04월 21일","1,116.35","1,117.45","1,121.61","1,114.78","-0.08%"
"2021년 04월 20일","1,117.28","1,115.51","1,119.74","1,110.29","0.17%"
"2021년 04월 19일","1,115.33","1,117.05","1,120.26","1,112.94","-0.10%"
"2021년 04월 16일","1,116.50","1,116.85","1,121.57","1,113.06","-0.02%"
"2021년 04월 15일","1,116.68","1,116.26","1,119.82","1,113.01","0.05%"
"2021년 04월 14일","1,116.08","1,121.55","1,123.91","1,112.09","-0.47%"
"2021년 04월 13일","1,121.37","1,125.23","1,128.42","1,120.38","-0.26%"
"2021년 04월 12일","1,124.32","1,121.77","1,127.28","1,120.29","0.30%"
"2021년 04월 09일","1,120.98","1,116.75","1,122.58","1,113.15","0.46%"
"2021년 04월 08일","1,115.83","1,119.20","1,121.56","1,114.59","-0.29%"
"2021년 04월 07일","1,119.03","1,119.29","1,120.36","1,114.67","-0.01%"
"2021년 04월 06일","1,119.17","1,125.04","1,125.68","1,116.57","-0.45%"
"2021년 04월 05일","1,124.18","1,129.69","1,130.03","1,122.45","-0.40%"
"2021년 04월 02일","1,128.64","1,128.86","1,130.38","1,126.29","-0.01%"
"2021년 04월 01일","1,128.72","1,127.96","1,133.82","1,125.31","0.14%"
"2021년 03월 31일","1,127.17","1,133.54","1,134.68","1,125.32","-0.48%"
"2021년 03월 30일","1,132.59","1,132.56","1,136.29","1,131.42","0.09%"
"2021년 03월 29일","1,131.56","1,128.95","1,136.41","1,128.77","0.27%"
"2021년 03월 26일","1,128.52","1,135.24","1,136.09","1,128.07","-0.58%"
"2021년 03월 25일","1,135.12","1,135.40","1,138.02","1,131.93","0.02%"
"2021년 03월 24일","1,134.90","1,133.40","1,135.96","1,130.24","0.18%"
"2021년 03월 23일","1,132.90","1,126.49","1,134.48","1,125.02","0.61%"
"2021년 03월 22일","1,126.00","1,129.47","1,134.01","1,125.61","-0.28%"
"2021년 03월 19일","1,129.12","1,128.25","1,134.80","1,125.31","0.12%"
"2021년 03월 18일","1,127.75","1,121.91","1,131.30","1,120.04","0.58%"
"2021년 03월 17일","1,121.21","1,129.93","1,134.31","1,120.65","-0.69%"
"2021년 03월 16일","1,129.00","1,132.85","1,135.91","1,128.14","-0.30%"
"2021년 03월 15일","1,132.35","1,136.50","1,138.78","1,130.92","-0.32%"
"2021년 03월 12일","1,136.00","1,130.85","1,139.35","1,127.27","0.50%"
"2021년 03월 11일","1,130.35","1,136.91","1,140.99","1,128.90","-0.49%"
"2021년 03월 10일","1,135.91","1,135.91","1,145.60","1,135.31","0.09%"
"2021년 03월 09일","1,134.91","1,141.83","1,144.85","1,133.38","-0.52%"
"2021년 03월 08일","1,140.83","1,128.85","1,144.07","1,127.06","1.14%"
"2021년 03월 05일","1,128.00","1,131.03","1,137.27","1,124.04","-0.25%"
"2021년 03월 04일","1,130.87","1,127.05","1,133.06","1,123.36","0.43%"
"2021년 03월 03일","1,126.05","1,125.29","1,128.05","1,116.95","0.09%"
"2021년 03월 02일","1,125.01","1,113.53","1,128.28","1,102.06","1.05%"
"2021년 03월 01일","1,113.33","1,124.89","1,125.15","1,113.09","-0.94%"
"2021년 02월 26일","1,123.89","1,119.47","1,130.33","1,118.41","0.46%"
"2021년 02월 25일","1,118.77","1,107.54","1,121.61","1,105.70","1.04%"
"2021년 02월 24일","1,107.27","1,110.22","1,113.75","1,106.08","-0.26%"
"2021년 02월 23일","1,110.13","1,112.58","1,114.81","1,108.24","-0.13%"
"2021년 02월 22일","1,111.59","1,106.02","1,116.10","1,102.83","0.66%"
"2021년 02월 19일","1,104.27","1,107.08","1,111.28","1,102.22","-0.24%"
"2021년 02월 18일","1,106.96","1,106.50","1,110.15","1,103.19","0.12%"
"2021년 02월 17일","1,105.61","1,107.58","1,110.81","1,104.49","-0.09%"
"2021년 02월 16일","1,106.58","1,102.31","1,109.55","1,096.91","0.48%"
"2021년 02월 15일","1,101.31","1,104.37","1,106.00","1,100.70","-0.12%"
"2021년 02월 12일","1,102.59","1,103.12","1,107.59","1,101.73","0.04%"
"2021년 02월 11일","1,102.12","1,106.48","1,108.02","1,102.05","-0.30%"
"2021년 02월 10일","1,105.48","1,111.01","1,114.16","1,103.59","-0.49%"
"2021년 02월 09일","1,110.88","1,117.31","1,118.75","1,110.08","-0.42%"
"2021년 02월 08일","1,115.61","1,117.76","1,122.17","1,116.05","-0.10%"
"2021년 02월 05일","1,116.77","1,120.11","1,127.85","1,116.22","-0.29%"
"2021년 02월 04일","1,120.00","1,113.58","1,122.74","1,112.48","0.59%"
"2021년 02월 03일","1,113.46","1,115.51","1,117.25","1,111.80","-0.17%"
"2021년 02월 02일","1,115.37","1,117.44","1,119.70","1,113.65","-0.10%"
"2021년 02월 01일","1,116.51","1,118.43","1,120.98","1,115.55","-0.10%"
"2021년 01월 29일","1,117.64","1,113.24","1,121.76","1,112.15","0.46%"
"2021년 01월 28일","1,112.52","1,108.42","1,121.36","1,107.49","0.37%"
"2021년 01월 27일","1,108.38","1,102.01","1,109.90","1,100.87","0.67%"